,keyword,category,Explanation
0,Loli Lolicon Toddler,Pedophilia,
1,Young girl,Pedophilia,
2,Young boy,Pedophilia,
3,Pre teen,Pedophilia,
4,Pedo,Pedophilia,
5,lolitas,Pedophilia,
6,AdultWork.comAdultWork.com,Pedophilia,
7,Adult Service Providers & Erotic Content,Pedophilia,
8,Sensitive stalk,Pedophilia,
9,Black Virgin,Pedophilia,
10,pondo tiny,Pedophilia,
11,probiller.trueamateurs.com​,Pedophilia,
12,young,Pedophilia,
13,bald,Pedophilia,
14,lolicon rape king,Pedophilia,
15,lolicon English rape,Pedophilia,
16,Lillie,Pedophilia,
17,virgin,Pedophilia,
18,lolicon rape glass,Pedophilia,
19,panties,Pedophilia,
20,bunny cottontail,Pedophilia,
21,Incest,Pedophilia,
22,roblox,Pedophilia,
23,Small Mousepad,Pedophilia,
24,exploited asia,Pedophilia,
25,exploited,Pedophilia,
26,repel daughter,Pedophilia,
27,vietnamese,Pedophilia,
28,roblox.com,Pedophilia,
29,babyj,Pedophilia,
30,babyshivid,Pedophilia,
31,childlover,Pedophilia,
32,childporn,Pedophilia,
33,childsex,Pedophilia,
34,childfugga,Pedophilia,
35,ddoggprn,Pedophilia,
36,hussyfan,Pedophilia,
37,kdquality,Pedophilia,
38,kidzilla,Pedophilia,
39,kingpass,Pedophilia,
40,mafiasex,Pedophilia,
41,pedo,Pedophilia,
42,pedofilia,Pedophilia,
43,pedofilo,Pedophilia,
44,pedoland,Pedophilia,
45,pedophile,Pedophilia,
46,pedophilia,Pedophilia,
47,pedophilie,Pedophilia,
48,pthc,Pedophilia,
49,ptsc,Pedophilia,
50,qqaazz,Pedophilia,
51,raygold,Pedophilia,
52,reelkiddymov,Pedophilia,
53,yamad,Pedophilia,
54,"""youngvideomodels",Pedophilia,
55,PTHC,Pedophilia,
56,Pre Teen Hard Core,Pedophilia,
57,R@ygold,Pedophilia,
58,Yamad,Pedophilia,
59,12yo,Pedophilia,
60,Hussyfan,Pedophilia,
61,Underage,Pedophilia,
62,qqaazz,Pedophilia,
63,lordofthering,Pedophilia,
64,001a,Pedophilia,
65,10of,Pedophilia,
66,1man,Pedophilia,
67,2005new,Pedophilia,
68,7e,Pedophilia,
69,7o,Pedophilia,
70,abt,Pedophilia,
71,ass,Pedophilia,
72,avi,Pedophilia,
73,baby,Pedophilia,
74,babyj,Pedophilia,
75,babyshivid,Pedophilia,
76,babyshvid,Pedophilia,
77,bambina,Pedophilia,
78,bbx,Pedophilia,
79,bd,Pedophilia,
80,bella,Pedophilia,
81,beyword,Pedophilia,
82,boy,Pedophilia,
83,boylover,Pedophilia,
84,brazuquinha,Pedophilia,
85,cambodian,Pedophilia,
86,change,Pedophilia,
87,child,Pedophilia,
88,childfugga,Pedophilia,
89,childlover,Pedophilia,
90,childs,Pedophilia,
91,childsex,Pedophilia,
92,ck,Pedophilia,
93,company,Pedophilia,
94,cries,Pedophilia,
95,cum,Pedophilia,
96,daughter,Pedophilia,
97,desidee,Pedophilia,
98,diaper,Pedophilia,
99,doggyfuck,Pedophilia,
100,doughter,Pedophilia,
101,eine,Pedophilia,
102,elli,Pedophilia,
103,eurololita,Pedophilia,
104,furs,Pedophilia,
105,gebusch,Pedophilia,
106,girl,Pedophilia,
107,girls,Pedophilia,
108,harrier,Pedophilia,
109,hussyfa,Pedophilia,
110,hussyfan,Pedophilia,
111,hussyfun,Pedophilia,
112,hyman,Pedophilia,
113,illegal,Pedophilia,
114,inces,Pedophilia,
115,incest,Pedophilia,
116,infant,Pedophilia,
117,inga,Pedophilia,
118,inna,Pedophilia,
119,island,Pedophilia,
120,island03,Pedophilia,
121,jackie,Pedophilia,
122,jailbait,Pedophilia,
123,jenniefer,Pedophilia,
124,jenny,Pedophilia,
125,jho,Pedophilia,
126,jpg,Pedophilia,
127,jr,Pedophilia,
128,kacy,Pedophilia,
129,kdquality,Pedophilia,
130,kdv,Pedophilia,
131,kiddy,Pedophilia,
132,kids,Pedophilia,
133,kidzilla,Pedophilia,
134,kinderﬁcker,Pedophilia,
135,kindergarden,Pedophilia,
136,kingpass,Pedophilia,
137,kissie,Pedophilia,
138,kleuterkutje,Pedophilia,
139,kurahashi,Pedophilia,
140,la2,Pedophilia,
141,laika,Pedophilia,
142,landﬁll,Pedophilia,
143,liluplanet,Pedophilia,
144,little,Pedophilia,
145,lolalover,Pedophilia,
146,lolifuck,Pedophilia,
147,lolita,Pedophilia,
148,lolita2,Pedophilia,
149,lolitaguy,Pedophilia,
150,lordofthering,Pedophilia,
151,ls,Pedophilia,
